team,draft_year_start,draft_year_end,total_picks,draft_capital,players_still_on_team,starter_with_drafting_team_count,starter_with_any_team_count,first_team_all_pro_count,second_team_all_pro_count,top5_award_finish_count,retention_score,starter_score,snap_share_score,star_score,premium_picks,premium_bust_count,premium_bust_rate,premium_draft_capital,premium_raw_score,premium_pick_score,premium_pick_dei,bust_penalty_points,missing_premium_pick_count,missing_premium_pick_cost,missing_pick_penalty_points,raw_score,team_score,draft_efficiency_index,bust_adjusted_raw_score,bust_adjusted_draft_capital,bust_adjusted_team_score,bust_adjusted_dei,rank
ATL,2021,2025,36,134.5,23,19,19,1,0,0,0.11638628920265426,0.42403405391965054,0.16426131645021588,0.012877701171515817,17,2,0.11764705882352941,102.0,68.08722392725538,0.667521803208386,102.72395363197678,-1.8106601717798212,1,6.0,-2.5,96.51173402007291,0.7175593607440365,96.91335420338366,92.20107384829309,140.5,0.6562354010554668,102.96478758590366,21
CHI,2021,2025,41,136.5,24,18,18,0,0,0,0.12820245802982044,0.39265845429736185,0.183560839405553,0.0,16,2,0.125,100.0,54.52714661344889,0.545271466134489,83.91102812645262,-1.8106601717798212,4,22.0,-5.9385873462163055,96.15356911151837,0.7044217517327352,95.13899263115414,88.40432159352224,158.5,0.5577559721988785,87.51314712656388,22
MIA,2021,2025,30,96.0,17,11,11,0,0,0,0.14070116006377373,0.3899752601431823,0.16814781805640452,0.0,12,2,0.16666666666666666,74.0,45.315331691139896,0.6123693471775662,94.23662286799433,-2.1933756729740645,5,30.0,-8.120061248538324,67.08712687328261,0.6988242382633606,94.38299412400174,56.77368995177022,126.0,0.45058484088706524,70.697759305191,23
CAR,2021,2025,37,126.5,22,17,17,0,0,0,0.12795411547429542,0.39974793800889913,0.16800222146863567,0.0,15,2,0.13333333333333333,88.0,56.04275398999256,0.6368494771590064,98.00383425349749,-2.517766952966369,1,6.0,-1.25,88.00659078140652,0.6957042749518302,93.96161280553021,84.23882382844015,132.5,0.635764708139171,99.75289053726439,24
WAS,2021,2025,39,137.0,19,18,19,0,0,0,0.10004366407935436,0.415065163471221,0.1774012829287477,0.0,18,2,0.1111111111111111,106.0,63.13186507623804,0.5955836327946985,91.65349384111067,-2.6337923567508073,1,4.0,-1.5,94.87388513566727,0.6925101104793231,93.53020990028908,90.74009277891645,141.0,0.6435467572972797,100.9739112826539,25
BAL,2021,2025,45,153.0,30,17,19,3,0,0,0.14017299970508304,0.3593527952061216,0.16196360915571156,0.029411764705882353,16,1,0.0625,98.0,65.01126991447384,0.6633803052497331,102.08662457062358,-1.0606601717798212,2,12.0,-2.5614096617239595,105.70787882223819,0.6909011687727986,93.31290671113504,102.0858089887344,165.0,0.6187018726589963,97.07569386667376,26
NYJ,2021,2025,38,145.0,21,19,20,2,0,0,0.10260382658017488,0.38521337676777545,0.17747110060091226,0.020689655172413793,15,1,0.06666666666666667,100.0,62.54409878501994,0.6254409878501994,96.24819852574143,-1.0606601717798212,3,14.0,-3.3046127500007443,99.46680407258506,0.6859779591212763,92.6479794774066,95.1015311508045,159.0,0.5981228374264435,93.84679766870175,27
BUF,2021,2025,41,123.0,27,14,14,1,0,0,0.15634590116716368,0.3247115917252783,0.182938270170659,0.017246506858208475,15,0,0.0,88.0,50.74028250737962,0.5765941194020411,88.73122540903043,0.0,1,8.0,-2.82842712474619,83.79279920032106,0.6812422699213094,92.00837870018637,80.96437207557487,131.0,0.6180486417982815,96.97320049812052,28
NO,2021,2025,34,126.0,24,13,13,0,0,0,0.1430461843179947,0.3608372144344914,0.1662037787386854,0.0,15,2,0.13333333333333333,94.0,60.22870859505568,0.6407309425005924,98.60114727586888,-2.3094010767585034,2,8.0,-1.8106601717798212,84.4309843638876,0.6700871774911714,90.50177522875721,80.31092311534928,134.0,0.5993352471294723,94.0370274358534,29
DAL,2021,2025,45,142.5,22,15,16,4,0,0,0.11469863032279644,0.33647159036674396,0.1729252921880876,0.03877138497894471,18,1,0.05555555555555555,102.0,63.716028153167045,0.6246669426781083,96.12908184672844,-1.118033988749895,0,0.0,0.0,94.45853294456163,0.6628668978565728,89.52660640516363,93.34049895581173,142.5,0.6550210453039419,102.77425247943368,30
JAX,2021,2025,47,155.5,27,17,17,0,0,0,0.12404418048079145,0.29306698247622637,0.17023981779374464,0.0,18,1,0.05555555555555555,108.0,62.11126156076089,0.5751042737107489,88.50195523541886,-0.75,2,12.0,-3.75,91.33307750674355,0.5873509807507624,79.32744906314218,86.83307750674355,167.5,0.5184064328760809,81.33911727163904,31
MIN,2021,2025,39,129.0,15,11,13,1,0,0,0.0840663164418488,0.27020354678003844,0.11939023285992074,0.01644434374852436,15,5,0.3333333333333333,88.0,36.56256423392736,0.4154836844764473,63.93817630205199,-5.841640786499874,5,28.0,-7.889836786470149,63.223472738112875,0.49010443983033236,66.1933601210047,49.49199516514285,157.0,0.31523563799454046,49.461169655599285,32
