season,award,player_name,team_position,result,rank,votes,source_url
2020,DROY,Chase Young,Washington Football Team LDE,vote_finisher,1.0,42.5,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,DROY,Jeremy Chinn,Carolina Panthers RLB,vote_finisher,2.0,4.5,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,DROY,Patrick Queen,Baltimore Ravens LILB,vote_finisher,3.0,2.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,DROY,Antoine Winfield Jr.,Tampa Bay Buccaneers SS,vote_finisher,4.0,1.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,CPOY,Alex Smith,Washington Football Team QB,vote_finisher,1.0,49.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,CPOY,Ben Roethlisberger,Pittsburgh Steelers QB,vote_finisher,2.0,1.0,https://www.pro-football-reference.com/awards/awards_2020.htm
2021,MVP,Aaron Rodgers,Green Bay Packers QB,vote_finisher,1.0,39.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,MVP,Tom Brady,Tampa Bay Buccaneers QB,vote_finisher,2.0,10.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,MVP,Cooper Kupp,Los Angeles Rams WR,vote_finisher,3.0,1.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OPOY,Cooper Kupp,Los Angeles Rams WR,vote_finisher,1.0,35.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OPOY,Jonathan Taylor,Indianapolis Colts RB,vote_finisher,2.0,10.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OPOY,Tom Brady,Tampa Bay Buccaneers QB,vote_finisher,3.0,3.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OPOY,Aaron Rodgers,Green Bay Packers QB,vote_finisher,4.0,2.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,DPOY,T.J. Watt,Pittsburgh Steelers LB,vote_finisher,1.0,42.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,DPOY,Micah Parsons,Dallas Cowboys LB,vote_finisher,2.0,5.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,DPOY,Aaron Donald,Los Angeles Rams DT,vote_finisher,3.0,3.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OROY,Ja'Marr Chase,Cincinnati Bengals WR,vote_finisher,1.0,42.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OROY,Mac Jones,New England Patriots QB,vote_finisher,2.0,5.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OROY,Creed Humphrey,Kansas City Chiefs OL,vote_finisher,3.0,2.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OROY,Rashawn Slater,Los Angeles Chargers T,vote_finisher,4.0,1.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,DROY,Micah Parsons,Dallas Cowboys LB,vote_finisher,1.0,50.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,CPOY,Joe Burrow,Cincinnati Bengals QB,vote_finisher,1.0,28.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,CPOY,Dak Prescott,Dallas Cowboys QB,vote_finisher,2.0,21.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,CPOY,Derwin James,Los Angeles Chargers S,vote_finisher,3.0,1.0,https://www.pro-football-reference.com/awards/awards_2021.htm
2022,MVP,Josh Allen,Bills QB,finalist,,,https://www.nfl.com/news/nfl-honors-finalists-announced-for-select-awards-from-2022-season
