season,award,player_name,team_position,result,rank,votes,source_url
2020,OPOY,Josh Allen,Buffalo Bills QB,vote_finisher,4,3,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OPOY,Travis Kelce,Kansas City Chiefs TE,vote_finisher,5,3,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OPOY,Alvin Kamara,New Orleans Saints RB,vote_finisher,6,2,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,DPOY,Aaron Donald,Los Angeles Rams DT,vote_finisher,1,27,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,DPOY,T.J. Watt,Pittsburgh Steelers LOLB,vote_finisher,2,20,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,DPOY,Xavien Howard,Miami Dolphins RCB,vote_finisher,3,3,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OROY,Justin Herbert,Los Angeles Chargers QB,vote_finisher,1,41,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,OROY,Justin Jefferson,Minnesota Vikings WR,vote_finisher,2,9,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,DROY,Chase Young,Washington Football Team LDE,vote_finisher,1,42.5,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,DROY,Jeremy Chinn,Carolina Panthers RLB,vote_finisher,2,4.5,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,DROY,Patrick Queen,Baltimore Ravens LILB,vote_finisher,3,2,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,DROY,Antoine Winfield Jr.,Tampa Bay Buccaneers SS,vote_finisher,4,1,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,CPOY,Alex Smith,Washington Football Team QB,vote_finisher,1,49,https://www.pro-football-reference.com/awards/awards_2020.htm
2020,CPOY,Ben Roethlisberger,Pittsburgh Steelers QB,vote_finisher,2,1,https://www.pro-football-reference.com/awards/awards_2020.htm
2021,MVP,Aaron Rodgers,Green Bay Packers QB,vote_finisher,1,39,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,MVP,Tom Brady,Tampa Bay Buccaneers QB,vote_finisher,2,10,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,MVP,Cooper Kupp,Los Angeles Rams WR,vote_finisher,3,1,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OPOY,Cooper Kupp,Los Angeles Rams WR,vote_finisher,1,35,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OPOY,Jonathan Taylor,Indianapolis Colts RB,vote_finisher,2,10,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OPOY,Tom Brady,Tampa Bay Buccaneers QB,vote_finisher,3,3,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OPOY,Aaron Rodgers,Green Bay Packers QB,vote_finisher,4,2,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,DPOY,T.J. Watt,Pittsburgh Steelers LB,vote_finisher,1,42,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,DPOY,Micah Parsons,Dallas Cowboys LB,vote_finisher,2,5,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,DPOY,Aaron Donald,Los Angeles Rams DT,vote_finisher,3,3,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OROY,Ja'Marr Chase,Cincinnati Bengals WR,vote_finisher,1,42,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OROY,Mac Jones,New England Patriots QB,vote_finisher,2,5,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OROY,Creed Humphrey,Kansas City Chiefs OL,vote_finisher,3,2,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,OROY,Rashawn Slater,Los Angeles Chargers T,vote_finisher,4,1,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,DROY,Micah Parsons,Dallas Cowboys LB,vote_finisher,1,50,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,CPOY,Joe Burrow,Cincinnati Bengals QB,vote_finisher,1,28,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,CPOY,Dak Prescott,Dallas Cowboys QB,vote_finisher,2,21,https://www.pro-football-reference.com/awards/awards_2021.htm
2021,CPOY,Derwin James,Los Angeles Chargers S,vote_finisher,3,1,https://www.pro-football-reference.com/awards/awards_2021.htm
